providerName,pointid,lon,lat,status,cap
AmperioInc,5092098,23.8503,37.8646,malfunction,120
AmperioInc,5092092,23.8866,38.0037,charging,120
AmperioInc,5092069,23.8604,38.0162,charging,50
AmperioInc,5092068,23.8604,38.0162,malfunction,22
AmperioInc,5091319,23.823,38.0424,available,11
AmperioInc,5091318,23.823,38.0424,malfunction,120
AmperioInc,5089577,23.956,37.8257,offline,180
AmperioInc,5088485,23.7712,38.0684,available,120
AmperioInc,5088484,23.7712,38.0684,charging,120
AmperioInc,5088000,23.6785,38.0141,reserved,120
AmperioInc,5087999,23.6785,38.0141,reserved,22
AmperioInc,5087762,23.6785,38.0141,available,50
AmperioInc,5087761,23.6785,38.0141,charging,11
AmperioInc,5086362,23.7341,37.9171,offline,180
AmperioInc,5086361,23.7341,37.9171,charging,11
AmperioInc,5084856,23.7766,38.0058,offline,180
AmperioInc,5084855,23.7766,38.0058,available,180
AmperioInc,5084258,23.7141,37.9796,reserved,22
AmperioInc,5082360,23.763,37.882,charging,22
AmperioInc,5081746,23.8761,37.8833,reserved,22
AmperioInc,5081745,23.8761,37.8833,charging,11
AmperioInc,5073475,23.9075,37.968,charging,22
AmperioInc,5067020,23.9325,37.9256,reserved,11
AmperioInc,5067019,23.9325,37.9256,malfunction,120
AmperioInc,5062877,23.8492,38.0068,offline,22
AmperioInc,5041861,23.6355,38.0646,charging,180
AmperioInc,5034817,23.7041,38.0363,charging,180
AmperioInc,5034816,23.7041,38.0363,reserved,22
AmperioInc,5016916,23.9308,37.8626,charging,50
AmperioInc,4991169,23.9864,38.0189,available,22
AmperioInc,4991165,23.865,37.9071,charging,11
AmperioInc,4966924,23.8024,37.984,charging,180
AmperioInc,4966923,23.8024,37.984,malfunction,22
AmperioInc,4965603,23.6142,38.064,reserved,50
AmperioInc,4920850,23.7481,38.0139,available,22
AmperioInc,4920849,23.7481,38.0139,available,180
AmperioInc,4920848,23.7481,38.0139,available,180
AmperioInc,4886390,23.905,37.792,available,22
AmperioInc,4865050,23.9949,37.8916,available,180
AmperioInc,4865049,23.9949,37.8916,charging,22
AmperioInc,4865048,23.9949,37.8916,charging,180
AmperioInc,4855925,23.9075,37.968,malfunction,180
AmperioInc,4855924,23.9075,37.968,reserved,180
AmperioInc,4855174,23.7619,37.9501,malfunction,22
AmperioInc,4833630,23.7988,37.8065,charging,120
AmperioInc,4833629,23.7988,37.8065,charging,22
AmperioInc,4833628,23.7988,37.8065,reserved,50
AmperioInc,4833627,23.7988,37.8065,available,11
AmperioInc,4833626,23.7988,37.8065,offline,180
AmperioInc,4833625,23.7988,37.8065,available,180
AmperioInc,4833624,23.7988,37.8065,charging,22
AmperioInc,4833623,23.7988,37.8065,reserved,180
AmperioInc,4833175,23.9282,37.8521,offline,22
AmperioInc,4823121,23.8247,38.0358,charging,11
AmperioInc,4823120,23.8247,38.0358,malfunction,180
AmperioInc,4823119,23.8247,38.0358,charging,11
AmperioInc,4822979,23.851,38.0271,malfunction,11
AmperioInc,4822978,23.851,38.0271,reserved,180
AmperioInc,4822671,23.73,38.0212,available,120
AmperioInc,4822670,23.73,38.0212,reserved,11
AmperioInc,4822669,23.73,38.0212,malfunction,120
AmperioInc,4811823,23.8525,37.9788,charging,120
AmperioInc,4807294,23.985,37.9648,malfunction,120
AmperioInc,4793445,23.7082,37.9827,offline,180
AmperioInc,4793444,23.7082,37.9827,available,22
AmperioInc,4793443,23.7082,37.9827,available,22
AmperioInc,4771997,23.6554,38.0127,reserved,50
AmperioInc,4764301,23.7555,37.9259,available,11
AmperioInc,4745842,23.8525,37.9788,malfunction,11
AmperioInc,4729437,23.8878,37.9088,malfunction,11
AmperioInc,4727878,23.8341,38.022,charging,11
AmperioInc,4727877,23.8341,38.022,offline,11
AmperioInc,4707123,23.7577,37.8469,offline,120
AmperioInc,4707122,23.7577,37.8469,charging,120
